Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
Terra-Luna,7,2022-05-09,0.7,250,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,8,2022-05-09,0.7,250,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,9,2022-05-09,0.7,300,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,10,2022-05-09,0.7,300,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,11,2022-05-09,0.7,300,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,12,2022-05-09,0.7,300,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,13,2022-05-09,0.7,350,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,14,2022-05-09,0.7,350,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,15,2022-05-09,0.7,350,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,16,2022-05-09,0.7,350,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,17,2022-05-09,0.7,400,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,18,2022-05-09,0.7,400,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,19,2022-05-09,0.7,400,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,20,2022-05-09,0.7,400,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,21,2022-05-09,0.75,200,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,22,2022-05-09,0.75,200,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,23,2022-05-09,0.75,200,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,24,2022-05-09,0.75,200,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,25,2022-05-09,0.75,250,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,26,2022-05-09,0.75,250,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,27,2022-05-09,0.75,250,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,28,2022-05-09,0.75,250,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,29,2022-05-09,0.75,300,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,30,2022-05-09,0.75,300,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,31,2022-05-09,0.75,300,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,32,2022-05-09,0.75,300,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
